"Target value","Lower bound","Upper bound","State","Target name","Row name","Measure name","Source code","Section name","Row value"
2197.130154,2138.04,2256.22,"Total","State grants total","Race/Ethnicity","Average","znqtta","E1 Averages","Total"
1743.761732,1677.11,1810.41,"Total","State grants total","Race/Ethnicity","Average","znqtta","E1 Averages","White"
2150.368918,1990.39,2310.34,"Total","State grants total","Race/Ethnicity","Average","znqtta","E1 Averages","Black or African American"
2855.514543,2718.99,2992.04,"Total","State grants total","Race/Ethnicity","Average","znqtta","E1 Averages","Hispanic or Latino"
3542.210154,3262.92,3821.5,"Total","State grants total","Race/Ethnicity","Average","znqtta","E1 Averages","Asian"
1379.706814,1008.67,1750.75,"Total","State grants total","Race/Ethnicity","Average","znqtta","E1 Averages","Native American"
2734.182229,1276.28,4192.08,"Total","State grants total","Race/Ethnicity","Average","znqtta","E1 Averages","Native Hawaiian/Pacific Islander"
1965.763914,1729.3,2202.23,"Total","State grants total","Race/Ethnicity","Average","znqtta","E1 Averages","More than one race"
NA,NA,NA,"Alabama","State grants total","Race/Ethnicity","Average","znqtta","E1 Averages","Total"
NA,NA,NA,"Alabama","State grants total","Race/Ethnicity","Average","znqtta","E1 Averages","White"
NA,NA,NA,"Alabama","State grants total","Race/Ethnicity","Average","znqtta","E1 Averages","Black or African American"
NA,NA,NA,"Alabama","State grants total","Race/Ethnicity","Average","znqtta","E1 Averages","Hispanic or Latino"
NA,NA,NA,"Alabama","State grants total","Race/Ethnicity","Average","znqtta","E1 Averages","Asian"
NA,NA,NA,"Alabama","State grants total","Race/Ethnicity","Average","znqtta","E1 Averages","Native American"
NA,NA,NA,"Alabama","State grants total","Race/Ethnicity","Average","znqtta","E1 Averages","Native Hawaiian/Pacific Islander"
NA,NA,NA,"Alabama","State grants total","Race/Ethnicity","Average","znqtta","E1 Averages","More than one race"
NA,NA,NA,"Alaska","State grants total","Race/Ethnicity","Average","znqtta","E1 Averages","Total"
NA,NA,NA,"Alaska","State grants total","Race/Ethnicity","Average","znqtta","E1 Averages","White"
NA,NA,NA,"Alaska","State grants total","Race/Ethnicity","Average","znqtta","E1 Averages","Black or African American"
NA,NA,NA,"Alaska","State grants total","Race/Ethnicity","Average","znqtta","E1 Averages","Hispanic or Latino"
NA,NA,NA,"Alaska","State grants total","Race/Ethnicity","Average","znqtta","E1 Averages","Asian"
NA,NA,NA,"Alaska","State grants total","Race/Ethnicity","Average","znqtta","E1 Averages","Native American"
NA,NA,NA,"Alaska","State grants total","Race/Ethnicity","Average","znqtta","E1 Averages","Native Hawaiian/Pacific Islander"
NA,NA,NA,"Alaska","State grants total","Race/Ethnicity","Average","znqtta","E1 Averages","More than one race"
116.199754,38.1,194.3,"Arizona","State grants total","Race/Ethnicity","Average","znqtta","E1 Averages","Total"
180.268061,13.57,346.96,"Arizona","State grants total","Race/Ethnicity","Average","znqtta","E1 Averages","White"
NA,NA,NA,"Arizona","State grants total","Race/Ethnicity","Average","znqtta","E1 Averages","Black or African American"
78.437934,-20.07,176.95,"Arizona","State grants total","Race/Ethnicity","Average","znqtta","E1 Averages","Hispanic or Latino"
NA,NA,NA,"Arizona","State grants total","Race/Ethnicity","Average","znqtta","E1 Averages","Asian"
NA,NA,NA,"Arizona","State grants total","Race/Ethnicity","Average","znqtta","E1 Averages","Native American"
