"Target value","Lower bound","Upper bound","State","Target name","Row name","Measure name","Source code","Section name","Row value"
1956.392938,1903.38,2009.41,"Total","State grants total","Race/Ethnicity","Average","kpijkt","E1 Averages","Total"
1517.35115,1458.71,1576,"Total","State grants total","Race/Ethnicity","Average","kpijkt","E1 Averages","White"
1917.923388,1769.29,2066.56,"Total","State grants total","Race/Ethnicity","Average","kpijkt","E1 Averages","Black or African American"
2671.168113,2542.74,2799.59,"Total","State grants total","Race/Ethnicity","Average","kpijkt","E1 Averages","Hispanic or Latino"
3221.859667,2963.54,3480.18,"Total","State grants total","Race/Ethnicity","Average","kpijkt","E1 Averages","Asian"
1242.392501,891.88,1592.9,"Total","State grants total","Race/Ethnicity","Average","kpijkt","E1 Averages","Native American"
2799.361548,1359.55,4239.17,"Total","State grants total","Race/Ethnicity","Average","kpijkt","E1 Averages","Native Hawaiian/Pacific Islander"
1761.530594,1549.27,1973.79,"Total","State grants total","Race/Ethnicity","Average","kpijkt","E1 Averages","More than one race"
NA,NA,NA,"Alabama","State grants total","Race/Ethnicity","Average","kpijkt","E1 Averages","Total"
NA,NA,NA,"Alabama","State grants total","Race/Ethnicity","Average","kpijkt","E1 Averages","White"
NA,NA,NA,"Alabama","State grants total","Race/Ethnicity","Average","kpijkt","E1 Averages","Black or African American"
NA,NA,NA,"Alabama","State grants total","Race/Ethnicity","Average","kpijkt","E1 Averages","Hispanic or Latino"
NA,NA,NA,"Alabama","State grants total","Race/Ethnicity","Average","kpijkt","E1 Averages","Asian"
NA,NA,NA,"Alabama","State grants total","Race/Ethnicity","Average","kpijkt","E1 Averages","Native American"
NA,NA,NA,"Alabama","State grants total","Race/Ethnicity","Average","kpijkt","E1 Averages","Native Hawaiian/Pacific Islander"
NA,NA,NA,"Alabama","State grants total","Race/Ethnicity","Average","kpijkt","E1 Averages","More than one race"
NA,NA,NA,"Alaska","State grants total","Race/Ethnicity","Average","kpijkt","E1 Averages","Total"
NA,NA,NA,"Alaska","State grants total","Race/Ethnicity","Average","kpijkt","E1 Averages","White"
NA,NA,NA,"Alaska","State grants total","Race/Ethnicity","Average","kpijkt","E1 Averages","Black or African American"
NA,NA,NA,"Alaska","State grants total","Race/Ethnicity","Average","kpijkt","E1 Averages","Hispanic or Latino"
NA,NA,NA,"Alaska","State grants total","Race/Ethnicity","Average","kpijkt","E1 Averages","Asian"
NA,NA,NA,"Alaska","State grants total","Race/Ethnicity","Average","kpijkt","E1 Averages","Native American"
NA,NA,NA,"Alaska","State grants total","Race/Ethnicity","Average","kpijkt","E1 Averages","Native Hawaiian/Pacific Islander"
NA,NA,NA,"Alaska","State grants total","Race/Ethnicity","Average","kpijkt","E1 Averages","More than one race"
85.511918,26.95,144.07,"Arizona","State grants total","Race/Ethnicity","Average","kpijkt","E1 Averages","Total"
127.479734,3.5,251.46,"Arizona","State grants total","Race/Ethnicity","Average","kpijkt","E1 Averages","White"
NA,NA,NA,"Arizona","State grants total","Race/Ethnicity","Average","kpijkt","E1 Averages","Black or African American"
56.996321,-15.67,129.66,"Arizona","State grants total","Race/Ethnicity","Average","kpijkt","E1 Averages","Hispanic or Latino"
NA,NA,NA,"Arizona","State grants total","Race/Ethnicity","Average","kpijkt","E1 Averages","Asian"
NA,NA,NA,"Arizona","State grants total","Race/Ethnicity","Average","kpijkt","E1 Averages","Native American"
NA,NA,NA,"Arizona","State grants total","Race/Ethnicity","Average","kpijkt","E1 Averages","Native Hawaiian/Pacific Islander"
NA,NA,NA,"Arizona","State grants total","Race/Ethnicity","Average","kpijkt","E1 Averages","More than one race"
1764.394128,1675.27,1853.52,"Arkansas","State grants total","Race/Ethnicity","Average","kpijkt","E1 Averages","Total"
1857.121872,1612.27,2101.97,"Arkansas","State grants total","Race/Ethnicity","Average","kpijkt","E1 Averages","White"
1254.188171,755.71,1752.67,"Arkansas","State grants total","Race/Ethnicity","Average","kpijkt","E1 Averages","Black or African American"
1957.991534,710.24,3205.74,"Arkansas","State grants total","Race/Ethnicity","Average","kpijkt","E1 Averages","Hispanic or Latino"
NA,NA,NA,"Arkansas","State grants total","Race/Ethnicity","Average","kpijkt","E1 Averages","Asian"
NA,NA,NA,"Arkansas","State grants total","Race/Ethnicity","Average","kpijkt","E1 Averages","Native American"
NA,NA,NA,"Arkansas","State grants total","Race/Ethnicity","Average","kpijkt","E1 Averages","Native Hawaiian/Pacific Islander"
NA,NA,NA,"Arkansas","State grants total","Race/Ethnicity","Average","kpijkt","E1 Averages","More than one race"
4156.139842,3885.32,4426.96,"California","State grants total","Race/Ethnicity","Average","kpijkt","E1 Averages","Total"
3346.427976,2823.44,3869.42,"California","State grants total","Race/Ethnicity","Average","kpijkt","E1 Averages","White"
2940.433565,1862.22,4018.65,"California","State grants total","Race/Ethnicity","Average","kpijkt","E1 Averages","Black or African American"
4494.370353,4124.68,4864.07,"California","State grants total","Race/Ethnicity","Average","kpijkt","E1 Averages","Hispanic or Latino"
4634.959138,3955.22,5314.7,"California","State grants total","Race/Ethnicity","Average","kpijkt","E1 Averages","Asian"
NA,NA,NA,"California","State grants total","Race/Ethnicity","Average","kpijkt","E1 Averages","Native American"
NA,NA,NA,"California","State grants total","Race/Ethnicity","Average","kpijkt","E1 Averages","Native Hawaiian/Pacific Islander"
3213.978855,1871.24,4556.72,"California","State grants total","Race/Ethnicity","Average","kpijkt","E1 Averages","More than one race"
1038.381597,893.88,1182.88,"Colorado","State grants total","Race/Ethnicity","Average","kpijkt","E1 Averages","Total"
823.308985,665.23,981.39,"Colorado","State grants total","Race/Ethnicity","Average","kpijkt","E1 Averages","White"
