"Target value","Lower bound","Upper bound","Sector value","Target name","Row name","Measure name","Source code","Section name","Row value"
5205.548234,4983.12,5427.97,"Total","Total state and institutional grants","Race/Ethnicity","Average","fznerq","A1 Averages","Total"
5398.284804,5129.49,5667.08,"Total","Total state and institutional grants","Race/Ethnicity","Average","fznerq","A1 Averages","White"
3982.179541,3632.8,4331.56,"Total","Total state and institutional grants","Race/Ethnicity","Average","fznerq","A1 Averages","Black or African American"
4680.956815,4228.38,5133.53,"Total","Total state and institutional grants","Race/Ethnicity","Average","fznerq","A1 Averages","Hispanic or Latino"
7617.066747,6845.25,8388.88,"Total","Total state and institutional grants","Race/Ethnicity","Average","fznerq","A1 Averages","Asian"
3145.634061,2155.97,4135.3,"Total","Total state and institutional grants","Race/Ethnicity","Average","fznerq","A1 Averages","Native American"
3019.99371,1984.09,4055.9,"Total","Total state and institutional grants","Race/Ethnicity","Average","fznerq","A1 Averages","Native Hawaiian/Pacific Islander"
5662.989781,4885.34,6440.64,"Total","Total state and institutional grants","Race/Ethnicity","Average","fznerq","A1 Averages","More than one race"
996.868376,946.11,1047.62,"Public 2-year","Total state and institutional grants","Race/Ethnicity","Average","fznerq","A1 Averages","Total"
998.117013,942.88,1053.36,"Public 2-year","Total state and institutional grants","Race/Ethnicity","Average","fznerq","A1 Averages","White"
812.793977,705.2,920.39,"Public 2-year","Total state and institutional grants","Race/Ethnicity","Average","fznerq","A1 Averages","Black or African American"
1044.937581,961.22,1128.66,"Public 2-year","Total state and institutional grants","Race/Ethnicity","Average","fznerq","A1 Averages","Hispanic or Latino"
1225.427951,970.3,1480.56,"Public 2-year","Total state and institutional grants","Race/Ethnicity","Average","fznerq","A1 Averages","Asian"
862.437572,468.46,1256.42,"Public 2-year","Total state and institutional grants","Race/Ethnicity","Average","fznerq","A1 Averages","Native American"
1040.361563,509.04,1571.68,"Public 2-year","Total state and institutional grants","Race/Ethnicity","Average","fznerq","A1 Averages","Native Hawaiian/Pacific Islander"
1046.979348,856.71,1237.25,"Public 2-year","Total state and institutional grants","Race/Ethnicity","Average","fznerq","A1 Averages","More than one race"
4230.563002,4151.55,4309.57,"Public 4-year","Total state and institutional grants","Race/Ethnicity","Average","fznerq","A1 Averages","Total"
3795.863885,3701.35,3890.38,"Public 4-year","Total state and institutional grants","Race/Ethnicity","Average","fznerq","A1 Averages","White"
3680.534178,3471.33,3889.73,"Public 4-year","Total state and institutional grants","Race/Ethnicity","Average","fznerq","A1 Averages","Black or African American"
4761.253569,4559.24,4963.26,"Public 4-year","Total state and institutional grants","Race/Ethnicity","Average","fznerq","A1 Averages","Hispanic or Latino"
6555.71808,6161.34,6950.1,"Public 4-year","Total state and institutional grants","Race/Ethnicity","Average","fznerq","A1 Averages","Asian"
3016.299816,2035.31,3997.29,"Public 4-year","Total state and institutional grants","Race/Ethnicity","Average","fznerq","A1 Averages","Native American"
3913.244922,2169.23,5657.26,"Public 4-year","Total state and institutional grants","Race/Ethnicity","Average","fznerq","A1 Averages","Native Hawaiian/Pacific Islander"
3920.557087,3561.27,4279.85,"Public 4-year","Total state and institutional grants","Race/Ethnicity","Average","fznerq","A1 Averages","More than one race"
10265.651307,9371.04,11160.26,"Other","Total state and institutional grants","Race/Ethnicity","Average","fznerq","A1 Averages","Total"
12247.78781,11202.28,13293.29,"Other","Total state and institutional grants","Race/Ethnicity","Average","fznerq","A1 Averages","White"
