"Target value","Lower bound","Upper bound","Sector value","Target name","Row name","Measure name","Source code","Section name","Row value"
6067.630066,5776.94,6358.32,"Total","Total state and institutional grants","Race/Ethnicity","Average","trhgtv","A1 Averages","Total"
6339.959293,5998.8,6681.12,"Total","Total state and institutional grants","Race/Ethnicity","Average","trhgtv","A1 Averages","White"
4424.053491,4020.43,4827.68,"Total","Total state and institutional grants","Race/Ethnicity","Average","trhgtv","A1 Averages","Black or African American"
5359.731183,4845.7,5873.76,"Total","Total state and institutional grants","Race/Ethnicity","Average","trhgtv","A1 Averages","Hispanic or Latino"
9259.707452,8355.94,10163.48,"Total","Total state and institutional grants","Race/Ethnicity","Average","trhgtv","A1 Averages","Asian"
3786.760238,2646.91,4926.61,"Total","Total state and institutional grants","Race/Ethnicity","Average","trhgtv","A1 Averages","Native American"
3172.480619,1654.15,4690.81,"Total","Total state and institutional grants","Race/Ethnicity","Average","trhgtv","A1 Averages","Native Hawaiian/Pacific Islander"
6516.816926,5717.47,7316.17,"Total","Total state and institutional grants","Race/Ethnicity","Average","trhgtv","A1 Averages","More than one race"
996.302361,948.77,1043.84,"Public 2-year","Total state and institutional grants","Race/Ethnicity","Average","trhgtv","A1 Averages","Total"
996.677656,942.72,1050.63,"Public 2-year","Total state and institutional grants","Race/Ethnicity","Average","trhgtv","A1 Averages","White"
808.581246,708.3,908.87,"Public 2-year","Total state and institutional grants","Race/Ethnicity","Average","trhgtv","A1 Averages","Black or African American"
1056.142744,976.61,1135.68,"Public 2-year","Total state and institutional grants","Race/Ethnicity","Average","trhgtv","A1 Averages","Hispanic or Latino"
1212.951536,961.24,1464.66,"Public 2-year","Total state and institutional grants","Race/Ethnicity","Average","trhgtv","A1 Averages","Asian"
872.087081,496.97,1247.2,"Public 2-year","Total state and institutional grants","Race/Ethnicity","Average","trhgtv","A1 Averages","Native American"
995.838998,479.48,1512.2,"Public 2-year","Total state and institutional grants","Race/Ethnicity","Average","trhgtv","A1 Averages","Native Hawaiian/Pacific Islander"
1046.909799,860.57,1233.25,"Public 2-year","Total state and institutional grants","Race/Ethnicity","Average","trhgtv","A1 Averages","More than one race"
4396.742496,4312.09,4481.4,"Public 4-year","Total state and institutional grants","Race/Ethnicity","Average","trhgtv","A1 Averages","Total"
4035.942938,3922.92,4148.97,"Public 4-year","Total state and institutional grants","Race/Ethnicity","Average","trhgtv","A1 Averages","White"
3938.11814,3721.46,4154.78,"Public 4-year","Total state and institutional grants","Race/Ethnicity","Average","trhgtv","A1 Averages","Black or African American"
4846.081137,4634.67,5057.5,"Public 4-year","Total state and institutional grants","Race/Ethnicity","Average","trhgtv","A1 Averages","Hispanic or Latino"
6602.650337,6207.01,6998.29,"Public 4-year","Total state and institutional grants","Race/Ethnicity","Average","trhgtv","A1 Averages","Asian"
2890.229732,2027.72,3752.74,"Public 4-year","Total state and institutional grants","Race/Ethnicity","Average","trhgtv","A1 Averages","Native American"
4436.221625,2645.32,6227.13,"Public 4-year","Total state and institutional grants","Race/Ethnicity","Average","trhgtv","A1 Averages","Native Hawaiian/Pacific Islander"
4037.053768,3669.07,4405.04,"Public 4-year","Total state and institutional grants","Race/Ethnicity","Average","trhgtv","A1 Averages","More than one race"
10389.119211,9621.01,11157.22,"Other","Total state and institutional grants","Race/Ethnicity","Average","trhgtv","A1 Averages","Total"
11842.467277,10977.51,12707.42,"Other","Total state and institutional grants","Race/Ethnicity","Average","trhgtv","A1 Averages","White"
6384.764032,5466.18,7303.35,"Other","Total state and institutional grants","Race/Ethnicity","Average","trhgtv","A1 Averages","Black or African American"
8509.540663,7135.4,9883.68,"Other","Total state and institutional grants","Race/Ethnicity","Average","trhgtv","A1 Averages","Hispanic or Latino"
15972.069509,13574.45,18369.69,"Other","Total state and institutional grants","Race/Ethnicity","Average","trhgtv","A1 Averages","Asian"
6689.306555,3520.19,9858.43,"Other","Total state and institutional grants","Race/Ethnicity","Average","trhgtv","A1 Averages","Native American"
3393.564577,313.29,6473.84,"Other","Total state and institutional grants","Race/Ethnicity","Average","trhgtv","A1 Averages","Native Hawaiian/Pacific Islander"
10343.119999,8404.42,12281.82,"Other","Total state and institutional grants","Race/Ethnicity","Average","trhgtv","A1 Averages","More than one race"
6067.630066,5776.94,6358.32,"Total","Total state and institutional grants","Parents' Highest Education Level","Average","mlgrnz","A1 Averages","Total"
5111.418281,4214.03,6008.8,"Total","Total state and institutional grants","Parents' Highest Education Level","Average","mlgrnz","A1 Averages","Middle school/junior high"
4717.993237,4440.38,4995.6,"Total","Total state and institutional grants","Parents' Highest Education Level","Average","mlgrnz","A1 Averages","High school"
6951.575608,6586.09,7317.06,"Total","Total state and institutional grants","Parents' Highest Education Level","Average","mlgrnz","A1 Averages","College or beyond"
996.302361,948.77,1043.84,"Public 2-year","Total state and institutional grants","Parents' Highest Education Level","Average","mlgrnz","A1 Averages","Total"
1293.767285,1142.62,1444.92,"Public 2-year","Total state and institutional grants","Parents' Highest Education Level","Average","mlgrnz","A1 Averages","Middle school/junior high"
975.93045,913.04,1038.82,"Public 2-year","Total state and institutional grants","Parents' Highest Education Level","Average","mlgrnz","A1 Averages","High school"
964.020625,899.78,1028.26,"Public 2-year","Total state and institutional grants","Parents' Highest Education Level","Average","mlgrnz","A1 Averages","College or beyond"
4396.742496,4312.09,4481.4,"Public 4-year","Total state and institutional grants","Parents' Highest Education Level","Average","mlgrnz","A1 Averages","Total"
5696.864068,5279.17,6114.56,"Public 4-year","Total state and institutional grants","Parents' Highest Education Level","Average","mlgrnz","A1 Averages","Middle school/junior high"
4500.662706,4344.4,4656.93,"Public 4-year","Total state and institutional grants","Parents' Highest Education Level","Average","mlgrnz","A1 Averages","High school"
4246.299378,4151.47,4341.13,"Public 4-year","Total state and institutional grants","Parents' Highest Education Level","Average","mlgrnz","A1 Averages","College or beyond"
10389.119211,9621.01,11157.22,"Other","Total state and institutional grants","Parents' Highest Education Level","Average","mlgrnz","A1 Averages","Total"
6887.877831,4514.74,9261.01,"Other","Total state and institutional grants","Parents' Highest Education Level","Average","mlgrnz","A1 Averages","Middle school/junior high"
6969.879083,6207.34,7732.42,"Other","Total state and institutional grants","Parents' Highest Education Level","Average","mlgrnz","A1 Averages","High school"
12921.195676,11977.31,13865.08,"Other","Total state and institutional grants","Parents' Highest Education Level","Average","mlgrnz","A1 Averages","College or beyond"
6067.630066,5776.94,6358.32,"Total","Total state and institutional grants","Income Quartile","Average","yxivyv","A1 Averages","Total"
5558.809023,5147.49,5970.13,"Total","Total state and institutional grants","Income Quartile","Average","yxivyv","A1 Averages","Bottom quartile"
6144.926265,5722.33,6567.52,"Total","Total state and institutional grants","Income Quartile","Average","yxivyv","A1 Averages","Lower-middle quartile"
6465.479222,6098.27,6832.69,"Total","Total state and institutional grants","Income Quartile","Average","yxivyv","A1 Averages","Upper-middle quartile"
6122.59316,5762.79,6482.4,"Total","Total state and institutional grants","Income Quartile","Average","yxivyv","A1 Averages","Top quartile"
996.302361,948.77,1043.84,"Public 2-year","Total state and institutional grants","Income Quartile","Average","yxivyv","A1 Averages","Total"
1122.401727,1029.61,1215.19,"Public 2-year","Total state and institutional grants","Income Quartile","Average","yxivyv","A1 Averages","Bottom quartile"
1083.840047,1003.66,1164.02,"Public 2-year","Total state and institutional grants","Income Quartile","Average","yxivyv","A1 Averages","Lower-middle quartile"
881.048135,813.12,948.97,"Public 2-year","Total state and institutional grants","Income Quartile","Average","yxivyv","A1 Averages","Upper-middle quartile"
703.190225,627.66,778.72,"Public 2-year","Total state and institutional grants","Income Quartile","Average","yxivyv","A1 Averages","Top quartile"
4396.742496,4312.09,4481.4,"Public 4-year","Total state and institutional grants","Income Quartile","Average","yxivyv","A1 Averages","Total"
5338.421022,5144.69,5532.16,"Public 4-year","Total state and institutional grants","Income Quartile","Average","yxivyv","A1 Averages","Bottom quartile"
5041.859483,4863.43,5220.29,"Public 4-year","Total state and institutional grants","Income Quartile","Average","yxivyv","A1 Averages","Lower-middle quartile"
3923.193576,3760.09,4086.3,"Public 4-year","Total state and institutional grants","Income Quartile","Average","yxivyv","A1 Averages","Upper-middle quartile"
3114.543642,2979.74,3249.35,"Public 4-year","Total state and institutional grants","Income Quartile","Average","yxivyv","A1 Averages","Top quartile"
10389.119211,9621.01,11157.22,"Other","Total state and institutional grants","Income Quartile","Average","yxivyv","A1 Averages","Total"
8502.995503,7405.97,9600.03,"Other","Total state and institutional grants","Income Quartile","Average","yxivyv","A1 Averages","Bottom quartile"
10050.235803,8923.94,11176.53,"Other","Total state and institutional grants","Income Quartile","Average","yxivyv","A1 Averages","Lower-middle quartile"
12223.361516,11176.92,13269.8,"Other","Total state and institutional grants","Income Quartile","Average","yxivyv","A1 Averages","Upper-middle quartile"
10870.737337,10111.92,11629.56,"Other","Total state and institutional grants","Income Quartile","Average","yxivyv","A1 Averages","Top quartile"
6067.630066,5776.94,6358.32,"Total","Total state and institutional grants","Zero EFC Status","Average","quamuo","A1 Averages","Total"
4315.61473,3975.48,4655.75,"Total","Total state and institutional grants","Zero EFC Status","Average","quamuo","A1 Averages","Zero EFC"
7100.166669,6735.11,7465.23,"Total","Total state and institutional grants","Zero EFC Status","Average","quamuo","A1 Averages","Nonzero EFC"
996.302361,948.77,1043.84,"Public 2-year","Total state and institutional grants","Zero EFC Status","Average","quamuo","A1 Averages","Total"
1033.069784,959.36,1106.78,"Public 2-year","Total state and institutional grants","Zero EFC Status","Average","quamuo","A1 Averages","Zero EFC"
965.129717,916.88,1013.38,"Public 2-year","Total state and institutional grants","Zero EFC Status","Average","quamuo","A1 Averages","Nonzero EFC"
4396.742496,4312.09,4481.4,"Public 4-year","Total state and institutional grants","Zero EFC Status","Average","quamuo","A1 Averages","Total"
4826.396826,4680.61,4972.18,"Public 4-year","Total state and institutional grants","Zero EFC Status","Average","quamuo","A1 Averages","Zero EFC"
4215.15526,4118.13,4312.18,"Public 4-year","Total state and institutional grants","Zero EFC Status","Average","quamuo","A1 Averages","Nonzero EFC"
10389.119211,9621.01,11157.22,"Other","Total state and institutional grants","Zero EFC Status","Average","quamuo","A1 Averages","Total"
5605.93694,4774.21,6437.67,"Other","Total state and institutional grants","Zero EFC Status","Average","quamuo","A1 Averages","Zero EFC"
13775.173211,12833.28,14717.06,"Other","Total state and institutional grants","Zero EFC Status","Average","quamuo","A1 Averages","Nonzero EFC"
6067.630066,5776.94,6358.32,"Total","Total state and institutional grants","Pell Recipient Status","Average","begxzh","A1 Averages","Total"
6463.072671,6154.94,6771.2,"Total","Total state and institutional grants","Pell Recipient Status","Average","begxzh","A1 Averages","Not a Pell recipient"
5753.264925,5392.24,6114.29,"Total","Total state and institutional grants","Pell Recipient Status","Average","begxzh","A1 Averages","Pell recipient"
996.302361,948.77,1043.84,"Public 2-year","Total state and institutional grants","Pell Recipient Status","Average","begxzh","A1 Averages","Total"
730.98141,686.88,775.09,"Public 2-year","Total state and institutional grants","Pell Recipient Status","Average","begxzh","A1 Averages","Not a Pell recipient"
1194.614904,1126.05,1263.18,"Public 2-year","Total state and institutional grants","Pell Recipient Status","Average","begxzh","A1 Averages","Pell recipient"
4396.742496,4312.09,4481.4,"Public 4-year","Total state and institutional grants","Pell Recipient Status","Average","begxzh","A1 Averages","Total"
3421.904863,3320.2,3523.61,"Public 4-year","Total state and institutional grants","Pell Recipient Status","Average","begxzh","A1 Averages","Not a Pell recipient"
5316.18279,5190.09,5442.27,"Public 4-year","Total state and institutional grants","Pell Recipient Status","Average","begxzh","A1 Averages","Pell recipient"
