"Category number","Share","Lower bound","Upper bound","Sector value","Distribution name","Number of categories","Row name","Source code","Section name","Row value","Category name"
"Category 1",0.012012,0,0.02,"Total","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Total","0.5 to 0.9"
"Category 2",0.173061,0.11,0.23,"Total","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Total","1.0 to 1.4"
"Category 3",0.778962,0.66,0.9,"Total","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Total","1.5 to 1.9"
"Category 4",5.24333,4.94,5.54,"Total","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Total","2.0 to 2.4"
"Category 5",10.424578,10.03,10.82,"Total","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Total","2.5 to 2.9"
"Category 6",31.717261,31.08,32.36,"Total","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Total","3.0 to 3.4"
"Category 7",51.650796,50.87,52.43,"Total","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Total","3.5 to 4.0"
"Category 1",0.009581,0,0.02,"Total","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","White","0.5 to 0.9"
"Category 2",0.123876,0.04,0.21,"Total","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","White","1.0 to 1.4"
"Category 3",0.443902,0.34,0.55,"Total","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","White","1.5 to 1.9"
"Category 4",3.762133,3.39,4.13,"Total","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","White","2.0 to 2.4"
"Category 5",8.59165,8.13,9.05,"Total","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","White","2.5 to 2.9"
"Category 6",29.031974,28.24,29.82,"Total","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","White","3.0 to 3.4"
"Category 7",58.036885,57.03,59.04,"Total","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","White","3.5 to 4.0"
"Category 1",NA,NA,NA,"Total","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Black or African American","0.5 to 0.9"
"Category 2",0.238589,0.09,0.38,"Total","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Black or African American","1.0 to 1.4"
"Category 3",1.430241,1.07,1.79,"Total","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Black or African American","1.5 to 1.9"
"Category 4",9.757484,8.53,10.98,"Total","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Black or African American","2.0 to 2.4"
"Category 5",16.770276,15.38,18.16,"Total","High School GPA",7,"Race/Ethnicity","dmalwq","B2 Percentages","Black or African American","2.5 to 2.9"
