"Category number","Share","Lower bound","Upper bound","Sector value","Distribution name","Number of categories","Row name","Source code","Section name","Row value","Category name"
"Category 1",0.012338,0,0.02,"Total","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Total","0.5 to 0.9"
"Category 2",0.152475,0.11,0.2,"Total","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Total","1.0 to 1.4"
"Category 3",0.78497,0.62,0.95,"Total","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Total","1.5 to 1.9"
"Category 4",4.871829,4.6,5.15,"Total","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Total","2.0 to 2.4"
"Category 5",9.894436,9.51,10.28,"Total","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Total","2.5 to 2.9"
"Category 6",30.817833,30.19,31.45,"Total","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Total","3.0 to 3.4"
"Category 7",53.46612,52.68,54.25,"Total","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Total","3.5 to 4.0"
"Category 1",0.012538,0,0.02,"Total","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","White","0.5 to 0.9"
"Category 2",0.10358,0.04,0.17,"Total","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","White","1.0 to 1.4"
"Category 3",0.381096,0.3,0.46,"Total","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","White","1.5 to 1.9"
"Category 4",3.486743,3.14,3.83,"Total","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","White","2.0 to 2.4"
"Category 5",7.98001,7.51,8.45,"Total","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","White","2.5 to 2.9"
"Category 6",28.328173,27.57,29.09,"Total","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","White","3.0 to 3.4"
"Category 7",59.70786,58.68,60.74,"Total","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","White","3.5 to 4.0"
"Category 1",0.017064,0,0.04,"Total","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Black or African American","0.5 to 0.9"
"Category 2",0.24384,0.12,0.37,"Total","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Black or African American","1.0 to 1.4"
"Category 3",1.260552,0.97,1.55,"Total","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Black or African American","1.5 to 1.9"
"Category 4",9.265585,8.17,10.36,"Total","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Black or African American","2.0 to 2.4"
"Category 5",17.118791,15.83,18.41,"Total","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Black or African American","2.5 to 2.9"
"Category 6",36.9642,35.14,38.79,"Total","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Black or African American","3.0 to 3.4"
"Category 7",35.129968,33.54,36.72,"Total","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Black or African American","3.5 to 4.0"
"Category 1",NA,NA,NA,"Total","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Hispanic or Latino","0.5 to 0.9"
"Category 2",0.252665,0.13,0.38,"Total","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Hispanic or Latino","1.0 to 1.4"
"Category 3",1.121856,0.73,1.51,"Total","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Hispanic or Latino","1.5 to 1.9"
"Category 4",6.322008,5.64,7.01,"Total","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Hispanic or Latino","2.0 to 2.4"
"Category 5",12.074018,11.07,13.08,"Total","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Hispanic or Latino","2.5 to 2.9"
"Category 6",35.352089,33.91,36.79,"Total","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Hispanic or Latino","3.0 to 3.4"
"Category 7",44.857991,43.24,46.48,"Total","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Hispanic or Latino","3.5 to 4.0"
"Category 1",NA,NA,NA,"Total","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Asian","0.5 to 0.9"
"Category 2",0.09077,-0.05,0.23,"Total","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Asian","1.0 to 1.4"
"Category 3",0.255847,0.08,0.43,"Total","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Asian","1.5 to 1.9"
"Category 4",3.126038,2.22,4.03,"Total","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Asian","2.0 to 2.4"
"Category 5",6.134145,4.74,7.53,"Total","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Asian","2.5 to 2.9"
"Category 6",26.93386,24.35,29.52,"Total","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Asian","3.0 to 3.4"
"Category 7",63.45934,60.73,66.19,"Total","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Asian","3.5 to 4.0"
"Category 1",NA,NA,NA,"Total","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Native American","0.5 to 0.9"
"Category 2",NA,NA,NA,"Total","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Native American","1.0 to 1.4"
"Category 3",1.859008,-0.15,3.87,"Total","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Native American","1.5 to 1.9"
"Category 4",8.065482,3.02,13.12,"Total","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Native American","2.0 to 2.4"
"Category 5",13.271897,4.53,22.01,"Total","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Native American","2.5 to 2.9"
"Category 6",33.739968,23.83,43.65,"Total","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Native American","3.0 to 3.4"
"Category 7",42.730155,35.52,49.94,"Total","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Native American","3.5 to 4.0"
"Category 1",NA,NA,NA,"Total","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Native Hawaiian/Pacific Islander","0.5 to 0.9"
"Category 2",NA,NA,NA,"Total","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Native Hawaiian/Pacific Islander","1.0 to 1.4"
"Category 3",NA,NA,NA,"Total","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Native Hawaiian/Pacific Islander","1.5 to 1.9"
"Category 4",8.227077,1.06,15.4,"Total","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Native Hawaiian/Pacific Islander","2.0 to 2.4"
"Category 5",14.844197,7.45,22.24,"Total","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Native Hawaiian/Pacific Islander","2.5 to 2.9"
"Category 6",32.470916,16.21,48.73,"Total","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Native Hawaiian/Pacific Islander","3.0 to 3.4"
"Category 7",41.684608,28.01,55.35,"Total","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Native Hawaiian/Pacific Islander","3.5 to 4.0"
"Category 1",NA,NA,NA,"Total","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","More than one race","0.5 to 0.9"
"Category 2",0.137243,-0.02,0.3,"Total","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","More than one race","1.0 to 1.4"
"Category 3",2.660019,0.6,4.72,"Total","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","More than one race","1.5 to 1.9"
"Category 4",5.595651,4.15,7.04,"Total","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","More than one race","2.0 to 2.4"
"Category 5",10.303296,8.62,11.99,"Total","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","More than one race","2.5 to 2.9"
"Category 6",30.899088,28.16,33.64,"Total","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","More than one race","3.0 to 3.4"
"Category 7",50.404703,47.18,53.63,"Total","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","More than one race","3.5 to 4.0"
"Category 1",0.028526,0,0.05,"Public 2-year","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Total","0.5 to 0.9"
"Category 2",0.409029,0.26,0.56,"Public 2-year","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Total","1.0 to 1.4"
"Category 3",1.799059,1.43,2.17,"Public 2-year","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Total","1.5 to 1.9"
"Category 4",10.211501,9.42,11.01,"Public 2-year","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Total","2.0 to 2.4"
"Category 5",16.287663,15.36,17.21,"Public 2-year","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Total","2.5 to 2.9"
"Category 6",36.651149,35.34,37.96,"Public 2-year","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Total","3.0 to 3.4"
"Category 7",34.613074,33.2,36.02,"Public 2-year","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","Total","3.5 to 4.0"
"Category 1",0.040733,0,0.08,"Public 2-year","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","White","0.5 to 0.9"
"Category 2",0.370319,0.15,0.59,"Public 2-year","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","White","1.0 to 1.4"
"Category 3",1.072217,0.74,1.4,"Public 2-year","High School GPA",7,"Race/Ethnicity","mvxsbr","B2 Percentages","White","1.5 to 1.9"
